n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
59	31	28	0.9	50	1.63	1.27	1.75	1.36	38	0.058	After	76	27
100	50	50	1	306251	6090.22	2.51	5968.42	2.46	123	121.804	Before	0	28
63	34	29	0.85	50	1.48	1.24	1.69	1.41	41	0.051	After	84	28
100	50	50	1	296884	5998.92	1.71	5878.94	1.68	84	119.978	Before	0	29
56	29	27	0.93	50	1.75	1.21	1.81	1.26	34	0.065	After	52	29
100	50	50	1	318787	6347.59	1.61	6220.64	1.58	79	126.952	Before	0	30
59	30	29	0.97	50	1.69	1.21	1.69	1.21	35	0.058	After	48	30
100	50	50	1	273238	5519.39	1.69	5409	1.66	83	110.388	Before	0	31
50	27	23	0.85	50	1.88	1.12	2.13	1.26	29	0.082	After	55	31
100	50	50	1	315887	6271.82	4.31	6146.38	4.22	211	125.436	Before	0	32
64	32	32	1	50	1.58	1.48	1.53	1.44	46	0.049	After	170	32
100	50	50	1	298782	6009.61	2.35	5889.42	2.3	115	120.192	Before	0	33
56	30	26	0.87	50	1.62	1.21	1.81	1.35	35	0.062	After	81	33
100	50	50	1	302517	6035.04	2.67	5914.34	2.62	131	120.701	Before	0	34
56	29	27	0.93	50	1.75	1.29	1.81	1.33	36	0.065	After	98	34
100	50	50	1	301857	5986.67	2.35	5866.94	2.3	115	119.733	Before	0	35
59	32	27	0.84	50	1.55	1.23	1.78	1.41	38	0.057	After	80	35
100	50	50	1	305609	6045.41	3.47	5924.5	3.4	170	120.908	Before	0	36
58	29	29	1	50	1.71	1.36	1.66	1.31	38	0.059	After	134	36
100	50	50	1	333224	6655.51	3.78	6522.4	3.7	185	133.11	Before	0	37
57	28	29	1.04	50	1.78	1.44	1.66	1.34	39	0.061	After	147	37
100	50	50	1	306798	6112.57	1.92	5990.32	1.88	94	122.251	Before	0	38
59	29	30	1.03	50	1.71	1.32	1.6	1.23	37	0.057	After	57	38
100	50	50	1	317804	6390.37	1.63	6262.56	1.6	80	127.807	Before	0	39
61	32	29	0.91	50	1.58	1.16	1.69	1.24	36	0.055	After	47	39
100	50	50	1	315888	6297.14	2.73	6171.2	2.68	134	125.943	Before	0	40
65	34	31	0.91	50	1.45	1.21	1.55	1.29	40	0.047	After	96	40
100	50	50	1	331430	6631.45	4	6498.82	3.92	196	132.629	Before	0	41
56	28	28	1	50	1.78	1.37	1.71	1.32	37	0.063	After	161	41
100	50	50	1	318897	6374.96	4.51	6247.46	4.42	221	127.499	Before	0	42
60	30	30	1	50	1.69	1.41	1.63	1.37	41	0.056	After	183	42
100	50	50	1	314779	6276.63	4.12	6151.1	4.04	202	125.533	Before	0	43
54	29	25	0.86	50	1.75	1.43	1.96	1.6	40	0.07	After	168	43
100	50	50	1	299055	5935.08	1.67	5816.38	1.64	82	118.702	Before	0	44
58	30	28	0.93	50	1.66	1.24	1.71	1.29	36	0.059	After	46	44
100	50	50	1	305617	6168.82	4.55	6045.44	4.46	223	123.376	Before	0	45
62	30	32	1.07	50	1.66	1.52	1.5	1.38	44	0.052	After	181	45
100	50	50	1	300723	6057.37	2.37	5936.22	2.32	116	121.147	Before	0	46
58	29	29	1	50	1.75	1.39	1.69	1.34	39	0.06	After	78	46
100	50	50	1	318260	6380.41	1.69	6252.8	1.66	83	127.608	Before	0	47
59	31	28	0.9	50	1.6	1.1	1.71	1.18	33	0.057	After	52	47
100	50	50	1	332538	6633.1	4.27	6500.44	4.18	209	132.662	Before	0	48
55	28	27	0.96	50	1.78	1.63	1.78	1.63	44	0.066	After	166	48
100	50	50	1	309864	6140.37	1.78	6017.56	1.74	87	122.807	Before	0	49
55	27	28	1.04	50	1.85	1.23	1.71	1.14	32	0.066	After	55	49
100	50	50	1	313029	6327.02	4.04	6200.48	3.96	198	126.54	Before	0	50
60	30	30	1	50	1.66	1.38	1.6	1.33	40	0.055	After	157	50
100	50	50	1	315733	6254.71	1.63	6129.62	1.6	80	125.094	Before	0	51
57	30	27	0.9	50	1.69	1.21	1.81	1.3	35	0.063	After	50	51
100	50	50	1	318757	6327.45	2.63	6200.9	2.58	129	126.549	Before	0	52
60	31	29	0.94	50	1.63	1.33	1.69	1.38	40	0.056	After	90	52
100	50	50	1	359795	7150.02	1.67	7007.02	1.64	82	143	Before	0	53
53	29	24	0.83	50	1.75	1.07	2.04	1.25	30	0.073	After	54	53
100	50	50	1	316436	6300.53	4.35	6174.52	4.26	213	126.011	Before	0	54
67	34	33	0.97	50	1.45	1.3	1.45	1.3	43	0.044	After	171	54
100	50	50	1	292668	5880.98	1.67	5763.36	1.64	82	117.62	Before	0	55
60	30	30	1	50	1.69	1.24	1.63	1.2	36	0.056	After	49	55
100	50	50	1	298156	6010.1	4.71	5889.9	4.62	231	120.202	Before	0	56
56	30	26	0.87	50	1.69	1.41	1.88	1.58	41	0.065	After	196	56
100	50	50	1	312880	6192.27	2.41	6068.42	2.36	118	123.845	Before	0	57
59	32	27	0.84	50	1.55	1.23	1.78	1.41	38	0.057	After	81	57
100	50	50	1	330107	6654.92	1.84	6521.82	1.8	90	133.098	Before	0	58
56	27	29	1.07	50	1.88	1.27	1.69	1.14	33	0.065	After	60	58
100	50	50	1	278467	5567.29	3.16	5455.94	3.1	155	111.346	Before	0	59
60	31	29	0.94	50	1.63	1.33	1.69	1.38	40	0.056	After	119	59
100	50	50	1	333746	6694.69	2.73	6560.8	2.68	134	133.894	Before	0	60
54	28	26	0.93	50	1.78	1.26	1.85	1.31	34	0.068	After	101	60
100	50	50	1	302199	6057.78	3.08	5936.62	3.02	151	121.156	Before	0	61
56	30	26	0.87	50	1.69	1.24	1.88	1.38	36	0.065	After	118	61
