n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
25	13	12	0.92	59218	4555.23	1406.78	2.38	5	4934.83	3793.96	2.58	5	31	379.603	Before	0	77	25	25	1	4
21	11	10	0.91	25	2.27	1.68	1.45	2	2.5	2.01	1.6	3	16	0.227	After	15	77	25	25	1	4
25	13	12	0.92	59855	4604.23	1391.18	2.69	6	4987.92	2730.24	2.92	6	35	383.686	Before	0	78	25	25	1	4
20	9	11	1.22	25	2.78	1.39	1.89	4	2.27	1.42	1.55	3	17	0.253	After	18	78	25	25	1	4
25	13	12	0.92	53211	4093.15	927.04	3.15	6	4434.25	2501.79	3.42	7	41	341.096	Before	0	79	25	25	1	4
22	11	11	1	25	2.27	1.19	1.55	3	2.27	1.27	1.55	3	17	0.207	After	24	79	25	25	1	4
25	13	12	0.92	48533	3733.31	1116.88	2.85	6	4044.42	1782.97	3.08	5	37	311.109	Before	0	80	25	25	1	4
21	10	11	1.1	25	2.5	1.65	1.6	4	2.27	1.56	1.45	2	16	0.227	After	21	80	25	25	1	4
25	13	12	0.92	55885	4298.85	1114.71	2.38	4	4657.08	3822.15	2.58	5	31	358.237	Before	0	81	25	25	1	4
20	12	8	0.67	25	2.08	0.9	1.17	2	3.12	2.36	1.75	4	14	0.26	After	17	81	25	25	1	4
25	13	12	0.92	60744	4672.62	1177.84	2.08	4	5062	4088.4	2.25	5	27	389.385	Before	0	82	25	25	1	4
20	10	10	1	25	2.5	1.27	1.5	3	2.5	2.12	1.5	3	15	0.25	After	12	82	25	25	1	4
25	13	12	0.92	65431	5033.15	825.63	3.46	8	5452.58	1622	3.75	5	45	419.429	Before	0	83	25	25	1	4
21	11	10	0.91	25	2.27	1.27	1.45	3	2.5	1.96	1.6	4	16	0.227	After	29	83	25	25	1	4
25	13	12	0.92	62484	4806.46	1319.65	4.23	6	5207	2671.18	4.58	8	55	400.538	Before	0	84	25	25	1	4
21	12	9	0.75	25	2.08	0.79	1.75	3	2.78	2.17	2.33	5	21	0.231	After	34	84	25	25	1	4
25	13	12	0.92	57948	4457.54	793.94	3.85	7	4829	1388.65	4.17	6	50	371.462	Before	0	85	25	25	1	4
22	11	11	1	25	2.27	1.01	1.82	4	2.27	1.27	1.82	4	20	0.207	After	30	85	25	25	1	4
25	13	12	0.92	55343	4257.15	1245.92	3.62	6	4611.92	2697.32	3.92	6	47	354.763	Before	0	86	25	25	1	4
22	11	11	1	25	2.27	1.27	1.73	3	2.27	1.1	1.73	3	19	0.207	After	28	86	25	25	1	4
25	13	12	0.92	52189	4014.54	1186.54	2.46	4	4349.08	1893.61	2.67	5	32	334.545	Before	0	87	25	25	1	4
23	12	11	0.92	25	2.08	1.44	1.42	3	2.27	1.19	1.55	3	17	0.189	After	15	87	25	25	1	4
25	13	12	0.92	54638	4202.92	961.09	2.92	5	4553.17	2962.09	3.17	6	38	350.244	Before	0	88	25	25	1	4
22	13	9	0.69	25	1.92	1.26	1.38	3	2.78	1.48	2	4	18	0.214	After	20	88	25	25	1	4
25	13	12	0.92	55751	4288.54	1388.19	3.31	7	4645.92	3269.38	3.58	6	43	357.378	Before	0	89	25	25	1	4
19	9	10	1.11	25	2.78	1.56	1.67	3	2.5	1.78	1.5	3	15	0.278	After	28	89	25	25	1	4
25	13	12	0.92	56801	4369.31	917.45	1.77	3	4733.42	2868.98	1.92	3	23	364.109	Before	0	90	25	25	1	4
20	11	9	0.82	25	2.27	1.1	1.36	2	2.78	1.48	1.67	3	15	0.253	After	8	90	25	25	1	4
25	13	12	0.92	59969	4613	986.72	4.31	7	4997.42	2374.25	4.67	8	56	384.417	Before	0	91	25	25	1	4
22	13	9	0.69	25	1.92	0.86	1.46	3	2.78	1.99	2.11	4	19	0.214	After	37	91	25	25	1	4
25	13	12	0.92	55778	4290.62	995.23	4.54	7	4648.17	2984.15	4.92	10	59	357.551	Before	0	92	25	25	1	4
18	9	9	1	25	2.78	2.17	2.11	4	2.78	2.49	2.11	5	19	0.309	After	40	92	25	25	1	4
25	13	12	0.92	50829	3909.92	1050.91	4.46	10	4235.75	1865.25	4.83	8	58	325.827	Before	0	93	25	25	1	4
23	12	11	0.92	25	2.08	1	1.67	3	2.27	1.01	1.82	3	20	0.189	After	38	93	25	25	1	4
25	13	12	0.92	62372	4797.85	1158.74	1.77	3	5197.67	3725.6	1.92	4	23	399.821	Before	0	94	25	25	1	4
22	12	10	0.83	25	2.08	1.24	1.42	2	2.5	1.84	1.7	3	17	0.208	After	6	94	25	25	1	4
25	13	12	0.92	54003	4154.08	1343.49	4.77	8	4500.25	2050.39	5.17	7	62	346.173	Before	0	95	25	25	1	4
23	13	10	0.77	25	1.92	1.38	1.46	3	2.5	1.78	1.9	4	19	0.192	After	43	95	25	25	1	4
25	13	12	0.92	60136	4625.85	779.55	2.15	3	5011.33	2257.28	2.33	4	28	385.487	Before	0	96	25	25	1	4
21	10	11	1.1	25	2.5	1.08	1.5	2	2.27	1.1	1.36	3	15	0.227	After	13	96	25	25	1	4
25	13	12	0.92	57534	4425.69	1484.24	2.46	5	4794.5	3999.99	2.67	5	32	368.808	Before	0	97	25	25	1	4
22	12	10	0.83	25	2.08	1.24	1.33	3	2.5	1.65	1.6	3	16	0.208	After	16	97	25	25	1	4
25	13	12	0.92	58289	4483.77	1014.4	2.77	5	4857.42	2076.06	3	4	36	373.647	Before	0	98	25	25	1	4
19	11	8	0.73	25	2.27	2.15	1.27	2	3.12	2.17	1.75	3	14	0.284	After	22	98	25	25	1	4
25	13	12	0.92	48927	3763.62	896.02	2	4	4077.25	2414.94	2.17	4	26	313.635	Before	0	99	25	25	1	4
23	12	11	0.92	25	2.08	1.44	1.33	3	2.27	1.49	1.45	2	16	0.189	After	10	99	25	25	1	4
25	13	12	0.92	59739	4595.31	820.24	1.69	3	4978.25	2288.65	1.83	3	22	382.942	Before	0	100	25	25	1	4
21	12	9	0.75	25	2.08	1.08	1.25	2	2.78	1.56	1.67	3	15	0.231	After	7	100	25	25	1	4
50	25	25	1	113513	4540.52	1286.34	1.8	4	4540.52	3590.77	1.8	4	45	181.621	Before	0	1	50	25	1	4
32	16	16	1	25	1.56	0.89	1.25	3	1.56	0.89	1.25	2	20	0.098	After	25	1	50	25	1	4
50	25	25	1	108292	4331.68	1269.52	4.72	11	4331.68	2794.29	4.72	10	118	173.267	Before	0	2	50	25	1	4
33	17	16	0.94	25	1.47	0.62	1.29	2	1.56	0.81	1.38	3	22	0.092	After	96	2	50	25	1	4
50	25	25	1	112867	4514.68	1079.81	3.44	6	4514.68	3106.91	3.44	8	86	180.587	Before	0	3	50	25	1	4
31	18	13	0.72	25	1.39	0.61	1.33	3	1.92	0.86	1.85	3	24	0.107	After	62	3	50	25	1	4
50	25	25	1	123203	4928.12	1261.48	3.64	5	4928.12	3055.36	3.64	8	91	197.125	Before	0	4	50	25	1	4
29	15	14	0.93	25	1.67	0.72	1.47	3	1.79	0.89	1.57	3	22	0.119	After	69	4	50	25	1	4
50	25	25	1	118607	4744.28	1103.48	4.08	8	4744.28	3052.13	4.08	9	102	189.771	Before	0	5	50	25	1	4
31	16	15	0.94	25	1.56	0.63	1.5	2	1.67	0.82	1.6	3	24	0.104	After	78	5	50	25	1	4
50	25	25	1	115885	4635.4	1223.03	2.48	7	4635.4	3395.47	2.48	6	62	185.416	Before	0	6	50	25	1	4
33	17	16	0.94	25	1.47	0.72	1.12	2	1.56	0.89	1.19	3	19	0.092	After	43	6	50	25	1	4
50	25	25	1	119661	4786.44	1146.16	1.84	5	4786.44	3527.68	1.84	4	46	191.458	Before	0	7	50	25	1	4
33	18	15	0.83	25	1.39	0.61	1.11	2	1.67	1.05	1.33	3	20	0.093	After	26	7	50	25	1	4
50	25	25	1	121173	4846.92	1050.44	3.88	8	4846.92	2382.35	3.88	8	97	193.877	Before	0	8	50	25	1	4
30	15	15	1	25	1.67	1.18	1.2	2	1.67	1.4	1.2	3	18	0.111	After	79	8	50	25	1	4
