n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
21	12	9	0.75	25	2.08	1.24	1.5	3	2.78	0.83	2	3	18	0.231	After	19	9	25	25	1	4
25	13	12	0.92	56563	4351	1478.46	2.31	5	4713.58	2477.09	2.5	4	30	362.583	Before	0	10	25	25	1	4
20	11	9	0.82	25	2.27	1.27	1.55	4	2.78	1.64	1.89	3	17	0.253	After	13	10	25	25	1	4
25	13	12	0.92	51276	3944.31	1046.98	2.23	4	4273	3014.63	2.42	6	29	328.692	Before	0	11	25	25	1	4
24	12	12	1	25	2.08	1.08	1.58	2	2.08	1.08	1.58	4	19	0.174	After	10	11	25	25	1	4
25	13	12	0.92	62278	4790.62	1057.41	1.69	4	5189.83	3552.28	1.83	4	22	399.218	Before	0	12	25	25	1	4
21	10	11	1.1	25	2.5	1.27	1.3	3	2.27	1.1	1.18	3	13	0.227	After	9	12	25	25	1	4
25	13	12	0.92	60290	4637.69	904.05	3.92	8	5024.17	2841.12	4.25	7	51	386.474	Before	0	13	25	25	1	4
21	11	10	0.91	25	2.27	1.1	1.55	3	2.5	1.84	1.7	4	17	0.227	After	34	13	25	25	1	4
25	13	12	0.92	55209	4246.85	1270.22	4.31	7	4600.75	2182.6	4.67	7	56	353.904	Before	0	14	25	25	1	4
23	12	11	0.92	25	2.08	1.38	1.67	4	2.27	1.35	1.82	3	20	0.189	After	36	14	25	25	1	4
25	13	12	0.92	61835	4756.54	1250.08	4.15	8	5152.92	2582.17	4.5	8	54	396.378	Before	0	15	25	25	1	4
22	12	10	0.83	25	2.08	0.79	1.83	3	2.5	1.35	2.2	4	22	0.208	After	32	15	25	25	1	4
25	13	12	0.92	58781	4521.62	1182.12	3	7	4898.42	3005.04	3.25	6	39	376.801	Before	0	16	25	25	1	4
22	12	10	0.83	25	2.08	1.08	1.67	3	2.5	1.08	2	4	20	0.208	After	19	16	25	25	1	4
25	13	12	0.92	53370	4105.38	1096.45	3.77	7	4447.5	2837.43	4.08	9	49	342.115	Before	0	17	25	25	1	4
20	10	10	1	25	2.5	1.08	1.9	3	2.5	1.27	1.9	3	19	0.25	After	30	17	25	25	1	4
25	13	12	0.92	51871	3990.08	2113.04	1.54	3	4322.58	2323.7	1.67	3	20	332.506	Before	0	18	25	25	1	4
20	9	11	1.22	25	2.78	1.39	1.44	3	2.27	1.56	1.18	2	13	0.253	After	7	18	25	25	1	4
25	13	12	0.92	60221	4632.38	987.56	2.54	7	5018.42	3383.09	2.75	5	33	386.032	Before	0	19	25	25	1	4
20	11	9	0.82	25	2.27	0.79	1.27	3	2.78	1.39	1.56	3	14	0.253	After	19	19	25	25	1	4
25	13	12	0.92	56336	4333.54	989.01	1.62	3	4694.67	2750.82	1.75	3	21	361.128	Before	0	20	25	25	1	4
