n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
100	50	50	1	224436	4488.72	1168.31	3.42	9	4488.72	2721.7	3.42	8	171	89.774	Before	0	35	100	100	1	4
79	41	38	0.93	100	2.44	1.57	1.66	6	2.63	1.51	1.79	3	68	0.064	After	103	35	100	100	1	4
100	50	50	1	228985	4579.7	1022.04	3.74	8	4579.7	2421.63	3.74	8	187	91.594	Before	0	36	100	100	1	4
86	43	43	1	100	2.33	1.29	1.58	3	2.33	1.58	1.58	3	68	0.054	After	119	36	100	100	1	4
100	50	50	1	218647	4372.94	1167.02	2.6	6	4372.94	2618.7	2.6	5	130	87.459	Before	0	37	100	100	1	4
81	42	39	0.93	100	2.38	1.55	1.52	3	2.56	1.83	1.64	5	64	0.061	After	66	37	100	100	1	4
100	50	50	1	226635	4532.7	1167.93	2.58	6	4532.7	2894.79	2.58	7	129	90.654	Before	0	38	100	100	1	4
79	41	38	0.93	100	2.44	1.25	1.61	4	2.63	1.88	1.74	4	66	0.064	After	63	38	100	100	1	4
100	50	50	1	227944	4558.88	1167.71	2.4	5	4558.88	3247.25	2.4	6	120	91.178	Before	0	39	100	100	1	4
72	41	31	0.76	100	2.44	1.45	1.34	3	3.23	2.36	1.77	4	55	0.079	After	65	39	100	100	1	4
100	50	50	1	232081	4641.62	1166.08	2.68	6	4641.62	2655.89	2.68	5	134	92.832	Before	0	40	100	100	1	4
79	41	38	0.93	100	2.44	1.55	1.66	4	2.63	1.89	1.79	4	68	0.064	After	66	40	100	100	1	4
100	50	50	1	226207	4524.14	1178.36	3.8	10	4524.14	3151.81	3.8	9	190	90.483	Before	0	41	100	100	1	4
79	42	37	0.88	100	2.38	1.15	1.71	4	2.7	1.88	1.95	5	72	0.064	After	118	41	100	100	1	4
100	50	50	1	214865	4297.3	1200.67	1.7	4	4297.3	3275.86	1.7	4	85	85.946	Before	0	42	100	100	1	4
76	39	37	0.95	100	2.56	1.82	1.21	3	2.7	1.98	1.27	3	47	0.069	After	38	42	100	100	1	4
100	50	50	1	226447	4528.94	1029.72	3.14	6	4528.94	2813.4	3.14	7	157	90.579	Before	0	43	100	100	1	4
79	42	37	0.88	100	2.38	1.32	1.57	3	2.7	2.07	1.78	4	66	0.064	After	91	43	100	100	1	4
100	50	50	1	210303	4206.06	1045.22	1.8	3	4206.06	2580.53	1.8	5	90	84.121	Before	0	44	100	100	1	4
82	42	40	0.95	100	2.38	1.55	1.38	3	2.5	2.1	1.45	4	58	0.06	After	32	44	100	100	1	4
100	50	50	1	227228	4544.56	1269.82	1.78	4	4544.56	3207.99	1.78	4	89	90.891	Before	0	45	100	100	1	4
86	44	42	0.95	100	2.27	1.26	1.34	3	2.38	1.65	1.4	3	59	0.054	After	30	45	100	100	1	4
100	50	50	1	217022	4340.44	1295.34	4.38	10	4340.44	2466.32	4.38	9	219	86.809	Before	0	46	100	100	1	4
75	38	37	0.97	100	2.63	1.3	1.82	4	2.7	1.76	1.86	4	69	0.071	After	150	46	100	100	1	4
100	50	50	1	233190	4663.8	1124.02	3.42	8	4663.8	3732.23	3.42	9	171	93.276	Before	0	47	100	100	1	4
